ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,FeedPrice,FeedPrice_lower,FeedPrice_upper,LayinghenPrice,LayinghenPrice_lower,LayinghenPrice_upper,Stock,Stock_lower,Stock_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2022-10-31,3.551576703055527,3.6065096826645666,3.853654453467952,3.551576703055527,3.551576703055527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18010941190348764,0.18010941190348764,0.18010941190348764,0.0,0.0,0.0,0.18010941190348764,0.18010941190348764,0.18010941190348764,0.0,0.0,0.0,3.7316861149590146
2022-11-07,3.5688605460286382,3.601570394623377,3.844799358853958,3.5688605460286382,3.5688605460286382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15704344644804955,0.15704344644804955,0.15704344644804955,0.0,0.0,0.0,0.15704344644804955,0.15704344644804955,0.15704344644804955,0.0,0.0,0.0,3.7259039924766877
2022-11-14,3.58614438900175,3.6015284519878,3.84178215653642,3.58614438900175,3.58614438900175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1392791668300741,0.1392791668300741,0.1392791668300741,0.0,0.0,0.0,0.1392791668300741,0.1392791668300741,0.1392791668300741,0.0,0.0,0.0,3.725423555831824
2022-11-21,3.6034282328329486,3.60604535798348,3.842575364213026,3.6034282328329486,3.6034282328329486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12688191721122752,0.12688191721122752,0.12688191721122752,0.0,0.0,0.0,0.12688191721122752,0.12688191721122752,0.12688191721122752,0.0,0.0,0.0,3.730310150044176
2022-11-28,3.620712076664147,3.6165951200189674,3.8674775824609036,3.620712076664147,3.620712076664147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12163758044943876,0.12163758044943876,0.12163758044943876,0.0,0.0,0.0,0.12163758044943876,0.12163758044943876,0.12163758044943876,0.0,0.0,0.0,3.742349657113586
2022-12-05,3.637995920495346,3.639983242540092,3.891434401971979,3.637995920495346,3.637995920495346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1241731698045439,0.1241731698045439,0.1241731698045439,0.0,0.0,0.0,0.1241731698045439,0.1241731698045439,0.1241731698045439,0.0,0.0,0.0,3.76216909029989
2022-12-12,3.6552797643265444,3.6647133620485657,3.9065652120530463,3.6552797643265444,3.6552797643265444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1298743263433089,0.1298743263433089,0.1298743263433089,0.0,0.0,0.0,0.1298743263433089,0.1298743263433089,0.1298743263433089,0.0,0.0,0.0,3.7851540906698533
2022-12-19,3.672563608157743,3.6706054574198452,3.9206722247950934,3.672563608157743,3.672563608157743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12629887872727547,0.12629887872727547,0.12629887872727547,0.0,0.0,0.0,0.12629887872727547,0.12629887872727547,0.12629887872727547,0.0,0.0,0.0,3.7988624868850187
2022-12-26,3.6898474519889417,3.6628241495813865,3.9136237843489305,3.6898474519889417,3.6898474519889417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09700889950223152,0.09700889950223152,0.09700889950223152,0.0,0.0,0.0,0.09700889950223152,0.09700889950223152,0.09700889950223152,0.0,0.0,0.0,3.7868563514911733
2023-01-02,3.7071312959500156,3.6170873201871774,3.8592287526335056,3.7071312959500156,3.7071312959500156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03387803599330653,0.03387803599330653,0.03387803599330653,0.0,0.0,0.0,0.03387803599330653,0.03387803599330653,0.03387803599330653,0.0,0.0,0.0,3.741009331943322
2023-01-09,3.7244151399110894,3.5562789429150787,3.8040906096816114,3.7244151399110894,3.7244151399110894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0505117900687969,-0.0505117900687969,-0.0505117900687969,0.0,0.0,0.0,-0.0505117900687969,-0.0505117900687969,-0.0505117900687969,0.0,0.0,0.0,3.6739033498422926
2023-01-16,3.741698983872163,3.4967034268137493,3.7415209805925524,3.741698983872163,3.741698983872163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12557083667115757,-0.12557083667115757,-0.12557083667115757,0.0,0.0,0.0,-0.12557083667115757,-0.12557083667115757,-0.12557083667115757,0.0,0.0,0.0,3.6161281472010054
2023-01-23,3.7589828278332367,3.457753557852973,3.715842805952986,3.7589828278332367,3.7589828278332367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16510398904936163,-0.16510398904936163,-0.16510398904936163,0.0,0.0,0.0,-0.16510398904936163,-0.16510398904936163,-0.16510398904936163,0.0,0.0,0.0,3.593878838783875
2023-01-30,3.7762666717943105,3.475855970870108,3.720555573208438,3.7762666717943105,3.7762666717943105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1715787202094721,-0.1715787202094721,-0.1715787202094721,0.0,0.0,0.0,-0.1715787202094721,-0.1715787202094721,-0.1715787202094721,0.0,0.0,0.0,3.6046879515848382
2023-02-06,3.793550515755384,3.48551262480972,3.7396709761113573,3.793550515755384,3.793550515755384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17569150289278604,-0.17569150289278604,-0.17569150289278604,0.0,0.0,0.0,-0.17569150289278604,-0.17569150289278604,-0.17569150289278604,0.0,0.0,0.0,3.617859012862598
2023-02-13,3.810834358479781,3.481161720732687,3.7250636732969764,3.810834358479781,3.810834358479781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2061505619105462,-0.2061505619105462,-0.2061505619105462,0.0,0.0,0.0,-0.2061505619105462,-0.2061505619105462,-0.2061505619105462,0.0,0.0,0.0,3.6046837965692347
2023-02-20,3.8281182012041772,3.4503512908046083,3.690139584122371,3.8281182012041772,3.8281182012041772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25796123764885254,-0.25796123764885254,-0.25796123764885254,0.0,0.0,0.0,-0.25796123764885254,-0.25796123764885254,-0.25796123764885254,0.0,0.0,0.0,3.5701569635553247
2023-02-27,3.8454020439285737,3.433594694856722,3.678865646698817,3.8454020439285737,3.8454020439285737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29436555466768016,-0.29436555466768016,-0.29436555466768016,0.0,0.0,0.0,-0.29436555466768016,-0.29436555466768016,-0.29436555466768016,0.0,0.0,0.0,3.5510364892608934
